reviewer name,rating,review title,date of review,Review body,verified buyer status,HelpfullYes,HelpfullNo
Patrice,4,Beautiful color but heavy feel,07/15/2023,"The Ilia multi-stick in the shade ""A Fine Romance"" is a beautiful color. I have a medium-tan skin tone and it looked good with my complexion. It added a subtle pop of color on my lips and cheeks. While I love the color, I felt like the product felt a bit heavy and sticky, especially on my cheeks. I'm prone to getting my pores clogged easily so I like lightweight products that I can't feel when I'm wearing it. I definitely felt this product on my skin. While I would use it on my lips, I would not use it on my cheeks as I feel like it would make me break out by clogging my pores. I've attached to pictures. The first is without the muli-stick and the second is with the stick being used on my lips and cheeks.",Verified Buyer,1,1
Athena,4,Nice blush,07/15/2023,"I really enjoyed this as a blush, but I felt it was a little too light as a lip tint. On my cheeks, it gave the perfect subtle bit of color that I tend to like.",Verified Buyer,2,0
Jordan,4,Good 3 in 1,07/15/2023,"I am really liking this product! The color is beautiful and blends so nicely. It gives me such a nice glow too. I love using this on my lips as well. The only thing I dislike is that you do have to warm the product up in order for it to glide easily across your face. Other than that, I really like this product.
I received a free sample of this product from PINCHMe for my honest review.",Verified Buyer,0,0
Jessica C.,5,Super pretty!,07/14/2023,This product looks so pretty on. At first I thought it would maybe be to red but nope it was perfect! It goes on really nice and blends well. I even liked how it looked on my lips..it gave them a nice tint. I couldn't be happier with this product. I don't wear blush often but I definitely will now that I have this.,Verified Buyer,1,0
Patrycja Ś.,5,Very good product,07/14/2023,"I definitely love this product! The shade Whisper is beautiful and matches my complexion perfectly. I definitely like it more as a blush than the lip tint, unless used with the lip liner. The texture is creamy and very easy to blend. Also love the packaging and how it saves so much room in my make up bag!",Verified Buyer,2,0
Pinkergal1,4,Gorgeous glowy finish,07/14/2023,I received this product for free from ilia and pinch me in exchange for my honest opinion. So I love the gorgeous glowy flush of color you get with this product however I am rating 4/5 because of how much product you have to use to achieve that result. I do set it with a powder blush on top. Overall if you are looking for a clean brand and this time of tool I would recommend. Also it is fantastic to travel with as well!,Verified Buyer,0,0
Siobhan W.,5,My favorite multi stick - just love it,07/14/2023,"Bought this 5 times already - have one in my bag, my home , my car lol - addicted",Verified Buyer,0,0
Darian C.,4,Love it,07/13/2023,"I really enjoy this product. Its ease of application is one of my favorite aspects - the twist-up stick format is both practical and perfect for on-the-go touch-ups. With its creamy consistency, blending is an absolute breeze, making it a fantastic choice for both cheeks and lips. It not only delivers a beautiful natural finish, but it also provides the bonus of moisturizing my skin, something I highly appreciate. Moreover, the longevity of the product throughout the day is quite impressive. It holds up beautifully, keeping my look fresh and vibrant.",Verified Buyer,1,0
Missie S.,5,Great multi functional product.,07/13/2023,I received this product from PINCHme and used for about a week. I love this. It goes on smoothly and makes my lips feel hydrated with a subtle hint of color.,Verified Buyer,0,0
T D.,5,Amazing product !,07/13/2023,"Wow, this product is so hydrating & easy to use. The multi-stick cream blush + highlighter + lip tint is great since it functions as a 3 in 1. The product is surprisingly pigmented & a little goes a long way. Definitely recommend it for those that like multi-functional products.",Verified Buyer,2,0
Missie S.,5,Great product. Goes on smoothly and lasts.,07/13/2023,I received a free product from PINCHme and used the product for about a week. This product is great and can be used on lips and as blush. It goes on smoothly and lasts. Left my lips feeling hydrated.,Verified Buyer,1,0
Tetiana W.,5,Excellent product!,07/13/2023,"I was very excited to try the Multi-Stick Cream Blush + Highlighter + Lip Tint by ILIA. I got the All of Me - warm watermelon shade.
I like the texture and the quality. The color is pink-nude, light and perfect for the summer.
The Multi-Stick Cream by ILIA lasts for the whole day. I apply it before leaving for work and it stays for quite a few hours, despite me eating and drinking.
The twist-up stick lasts for a long time and it's so easy to apply, even on the go.
I put it in my purse and feel like I could refresh my whole makeup with just one product.
It’s a great addition to my summer makeup collection.",Verified Buyer,1,0
Niki,4,Love the formulation and soft shade,07/13/2023,"I really like that this can be used for both lips and cheeks. The color Whisper is soft, which I really like because I don’t love wearing face makeup. However, I think if you’re someone who wants a more dramatic color you might want something other than Whisper. The stick was easy to use, and feels really great on my lips. It wasn’t oily, and was easy to blend on my cheeks. I’d definitely recommend this, and love that it looks great even without other makeup.",Verified Buyer,0,0
Andi A.,5,Pretty and convenient! What moms on the go need!,07/12/2023,I received the Ilia multi-stick “A Fine Romance” from PINCHme in exchange for an honest review. I LOVE THIS MULTI-STICK! It’s very convenient and I love the color. The fact that the product has multiple uses is so nice. Being a mom on the go means I have little space/time for me! I rarely put makeup on my cheeks on casual errands days but because this has many uses I’ve added a nice and subtle pop of color to my cheeks as well as my lips!,Verified Buyer,0,0
Deanna T.,5,Definitely is a must,07/12/2023,I have received this product exchange for a review from pinchme. I definitely wanna say I use this on no makeup days where you want just little bit of flush to the skin,Verified Buyer,0,0
Sandra G.,5,Your best friend!,07/12/2023,A multi-talented perfection in a tube! It does everything! Apply directly or finger paint!,Verified Buyer,0,0
Victoria,5,"A necessity to have, especially for travel and on the go",07/12/2023,"First of all, I’m not a big blush user, because my look always feels heavy and “too much” for daily use. However, this stick is amazing. So easy to apply, blends perfectly and doesn’t accentuate pores. I blended just with my fingers and so happy with it. You can my before and after applying the stick to my cheeks and lips photos.",Verified Buyer,0,0
Jacqueline R E.,5,"excellent two-in-one stick, lovely color too!",07/12/2023,"After I used the ILIA The Cleanse soft foaming cleanser, a toner and moisturizer I started putting on the ILIA multi stick on my cheeks. I'm surprised how creamy, subtle and easy it is to blend on my cheeks just using my three fingers. I also put it on my lips then my lips look so plump and beautiful. I love the texture and warmth of the color palette I got. When I drink, it doesn't smudge on anything. I look like a Korean girl after I put this on my cheeks and lips. Will definitely buy the other colors soon. I'm so happy with this product. Already recommended it to my family and friends.",Verified Buyer,0,0
BeaHDiva,4,Overall Nice Product,07/12/2023,I received the ILIA Multi-Stick Cream Blush/Highlighter/Lip Tint for my honest review. This product is small but mighty. I would definitely add this to my makeup travel bag. I used this product primarily as a blush. Fine Romance is a nice berry color that compliments my skin-tone. It's a subtle blush that is buildable if you are looking for more drama. I deducted a star because (1) the price point and (2) you do have to do a bit of work to get the color payoff. Overall nice product.,Not Verifide,2,0
I. M.,5,Love it!,07/12/2023,I received this from Pinchme in the color Whisper. The color is perfect for my light complexion. I can use this everyday for a more natural look or build up for the evening. It is very creamy so it blends beautifully with a buffer brush. Perfect for anyone who is afraid to try a cream blush. It gave a nice sheer hint of color to my lips which is great for the summer look.,Verified Buyer,0,0
Sam,5,Love it!,07/12/2023,"This Ilia multi- stick is awesome. It makes my cheeks glowy and look sun kissed, without the sunburn. It's a very nice shade. Very subtle but noticeable. Its not greasy or anything. Lasts all day. Highly recommended.",Verified Buyer,0,0
Annmarie H.,5,Just Beautiful!,07/11/2023,"I was so excited to receive yet another ILIA product, the ILIA MULTI-STICK, for free from PINCHme! The dark color scared me at first, but when I tried it on my olive skin, it was just the perfect pop of color! I love that you can use it for basically anything! I specifically chose to use it as my eyeshadow and blush today! Also, it's the perfect size for any small purse or clutch! I love it!",Verified Buyer,0,0
Alexis M.,4,Nice natural look for an atypical blush user,07/11/2023,"I received this product as a free trial from pinchme in exchange for my honest review.
I enjoyed using this multi stick! Disclaimer, I never use blush in my typical beauty routine. My normal makeup routine is (first layer to top) ilia c beyond serum in light, ilia skin tint in Balos, ilia concealer, Anastasia brow powder duo in taupe, ilia finishing powder, and occasional ilia mascara. I attached a makeup-free photo of myself and then a photo of myself with my typical makeup in addition to the multi stick. The multi stick went on beautifully smooth. I used just a little bit of pressure to not get a ton of color since I am quite pale. It blended in nicely with the rest of my makeup and complexion and didn’t look fake or made up. Since I have red undertones to my skin already, I’m not sure that I will make this a part of my normal skin routine, but I do like it for more fancy occasions or for when I know I will be photographed. I love that ilia products are very natural and cruelty free. I would recommend this product to those who like a natural looking blush. I cannot speak for how the color may look on the lips but like that it can also be used that way.",Verified Buyer,1,0
Tracy,4,"Good product, great color",07/11/2023,"I received this product for free in exchange for my honest review.
I have lots of blush sticks and this one is nice, if not anything groundbreaking. First, the packaging is awesome, feels good in the hand while not feeling overly heavy, nice experience there. I love this color, which is a soft pink, and after I applied with a brush it looks nice and glowy. I didn't build it up too much, but I think it definitely could be buildable. I will say that there are similar products out there, but this is a good one: color is great (though there are similar ones out there) and doesn't move my foundation. The only other drawback is that it kinda smells like crayons, though I think that's common with stick formulations. Overall, I like it and would purchase again, maybe in a more exciting color.",Verified Buyer,0,0
TC,5,Pretty!,07/11/2023,"PinchMe sent me a full-sized sample of Ilia’s Multi-Stick in ‘A Fine Romance’ and I am in love! This formula is so clean, creamy, lightweight, and the ease of application is a dream! I tend to try for a more “no-makeup” look and just a few dabs of the Multi-Stick is perfect for it. It’s also buildable for when I want a more bold look and that’s always a plus! I highly recommend this product!",Verified Buyer,0,0
Diane Chavis R.,5,Beautiful!!,07/11/2023,"The creamy Muti-stick can be used as your blush, highlighter, or lip tint. That’s 3 products in one!! This is such a beautiful color and gave my cheeks such a beautiful glow! I did also apply to my lips with a lip oil and the finished look was so pretty! I like that this has many uses in your makeup routine other than blush! Definitely recommend this!!",Verified Buyer,0,0
Caroline,4,"Great for blush, okay for lips",07/11/2023,"I love Ilia beauty and this multi-stick is great! The application is smooth and the ingredients are clean. I applied a very light layer so it may look like I don’t have anything on, but I did apply some to my cheeks and lips. My only concern is that this is a bit difficult to apply perfectly to the lips as the top is round. But if you do, you may just have to clean up around the lip lines.",Verified Buyer,0,0
Samantha,4,Pretty sheen,07/11/2023,"This product is really pretty. It blends easily on the cheeks and does offer a subtle glow so you don't need a highlighter - so two in one. I don't like the color for my lips or the texture, it is like putting cream blush on the lips just odd. But it is pigmented and feels lightweight. It doesn't last all day, but with setting spray has nice staying power if you aren't to0 oily.",Verified Buyer,0,0
Samantha B.,5,A Must Add!,07/11/2023,"I absolutely enjoyed trying this Multi-stick Lip/Cheek Tint sample! It glided on my skin so smooth and easy. I did use the Multi-stick after washing my face with the ILIA Foaming Cleanser. So it just enhanced how soft and supple my skin feels, especially on my cheeks and lips. I was very pleased that it didn't feel rough while applying. Would recommend this product as part of anyone's self-care regimen.",Verified Buyer,1,0
Annette M.,4,Convenient blush and lip tint all in one!,07/10/2023,"I received a free product of the Ilia multi-stick in the color “ a fine romance” from PINCHme in exchange for my honest review. This product is very easy to use and compact enough to put in you bag for touch ups throughout the day. The product is a little drying on my lips, but nothing a little lip balm help cure.",Verified Buyer,0,0
Sarah H.,5,A Summer Must Have,07/10/2023,"I received this product in Whisper in exchange for my honest review. I really enjoy this cream stick. It’s pigmented enough to leave you with a gentle wash of color, or you can build it up EASILY to your desired intensity. I applied this to my cheeks over foundation and set it with MAC Fix+. I spent the better part of the day running errands in heat and humidity. It lasted for roughly 5 hours before it began to fade. That’s a respectable performance, in my opinion. I love that’s it’s a clean, fragrance free formula that I can use on my eyes, cheeks and lips. It performs well, blends like a dream and tackled heat and humidity without a struggle. This belongs in every makeup lovers kit!",Verified Buyer,2,0
Maria Angelica Eblamo G.,5,It deserves 10 stars ⭐️,07/10/2023,"I was blown away when I tried this product! It literally exceeded my expectation. First of all, it is very pigmented and very easy to blend! It left a nice glow on my skin and the lip tint made my lips look naturally rosy. The best part is the pigment lasted until it’s time for me to remove my makeup! I wore it to church in the morning and even after running errands in the afternoon it’s still there 😍 I also think it’s a necessity for your travel makeup bag because of it’s size plus it is multi purpose. I highly recommend this product, you won’t be disappointed!",Verified Buyer,3,0
Ruth P.,5,"Love this, perfect for my complexion. Love how it makes my cheeks looking fresh and dewy.",07/09/2023,"Love this, perfect for my complexion. Love how it makes my cheeks looking fresh and dewy.",Verified Buyer,3,0
Minion,5,Amazing pigment !!,07/09/2023,Love the color and also the ease of application and versatility for lips and cheeks.The texture is light and a bit shiny and it's enough just a bit of product. The great thing is that it remains for the while day!,Verified Buyer,2,0
Selay,5,Love it new favorite blush!!,07/09/2023,This is so pretty! I do my Make-up dewy and I love how shiny it is and the brand is clean!!! I can use it for a full glam and on a nautral makeup day I used it as a eyeshadow blush and lipstick and shockingly I liked it as a lipstick usually I just like most muti sticks as a blush and eyeshadow but this shade and formula is super pretty! Another weird ish thing I loved is the smell I have a weird obsession to it! Recommend to all age groups!,Verified Buyer,0,0
MJ,5,Multi Fabulous!,07/08/2023,"Love this color and the ease of a multi-stick! Looks great on lips and works well as a blush, blended with a brush. You don’t need much to get great lasting, color. Can even layer with lip gloss or bronzer.",Verified Buyer,0,0
Halie,4,"Pretty, natural",07/08/2023,"This product would be great for a no-makeup/natural look girlie! It was easy to use and gave a very pretty, light flush to the cheeks with a subtle sheen. The shade Whisper is super pretty and great for spring/summer. It's very light and buildable, so easy to avoid that clown look cream products can sometimes give. However, if you have a deeper skintone I'd pick a different shade or try to swatch in-store first as the color may be too light and sheer.
The product is a little bit sticky and my makeup transferred a little when I applied it directly on top of my skin tint, so be careful when applying. I also didn't love it as a lip product because of the distinctly Crayola smell and taste. Overall, I think this would be a great product for the right person - someone who loves an easy, natural look.
I received this product from PinchMe in exchange for review :)",Verified Buyer,0,0
Sarah H.,5,A must have!,07/08/2023,"I received a free sample of the ILIA MULTI-STICK in the shade Whisper and I absolutely love it! It's such a versatile makeup product. I use it for my blush, lips and eyeshadow. It's so easy to apply and stays on all day. It's not too thick and there's no greasy feeling left on your skin. It looks beautiful and I'm very happy with this product. It's perfect to take on the go and since it's a multi stick it eliminates many other products I would normally take with me. I am very happy with this product!",Verified Buyer,0,0
Brittany G.,4,Definitely a space saver in your make up bag,07/08/2023,"I really enjoyed this multi stick when I opened it, the color was bold and beautiful. I put it on my lip and some blush and once I rubbed it in my cheeks I really enjoyed the color. For Highlighter however, I usually do go with a lighter shade but I was able to use another highlighter with it and it really made the make up shine. I really enjoyed how my lips felt moisturized and not heavy like some lip tints are. Overall I would recommend this product, my face has redness so I only needed a little bit to use as blush . The lip tint alone is bold and made me feel sexy!",Verified Buyer,0,0
Jaclyn T.,5,"Dear Ruby, I love you!",07/03/2023,I found this shade in a generous sample from another order and fell in love instantly. It gives me just the right pop of color (I’m not a “pink” girl) and I even apply it to my lips and down the bridge of my nose for a sun kissed look.,Verified Buyer,1,0
Sally C.,5,Lovely Color,06/28/2023,This product blends so nicely on the cheeks and is very moist on the lips.,Verified Buyer,7,0
Summer A.,5,Another staple on my bathroom sink,06/24/2023,"Over the last couple years I have come to rely on the simplicity of the multisticks.
I mostly use At Last and Dreamer. I use them on my cheeks, lips, eyelids, and sometimes I also use Dreamer for a little contouring.
I also have Cosmic Dancer which I like as a Highlighter, especially around my eyes.
They are so versatile, easy to use, and feel good on your skin. They are one of the products I reach for the most.",Verified Buyer,5,0
Lona C.,5,Love this palette!,06/24/2023,"I love the selection of different colors, half of these I would never try otherwise. I love using this as a base on my lips, works great by itself or with a little gloss.",Verified Buyer,4,0
Katie S.,5,I love these sticks!,06/10/2023,This isn’t my favorite color but I love all these sticks!,Verified Buyer,4,1
Lae,5,My favorite!,06/07/2023,I never let myself run out of this product. I love how I can add perfect color to lips and cheeks. Blends beautifully. Looks like I've been in the sun 🌞,Verified Buyer,8,0
Michelle S.,5,The best multi stick I’ve ever tried,05/05/2023,"I absolutely love Ilia multi sticks. The terra-cotta compliments my skin tone and I like using it across my cheeks and on my lids just at the crease under the brow bone, and bronze Pearl on my lids and on top of my cheekbones. Great stuff.",Verified Buyer,4,0
Sarah C.,5,This product is now a staple in my purse!,05/04/2023,I love this product. It’s the perfect colour and the perfect dewiness. It’s super easy to apply on both my cheeks and lips. I will be ordering several more in different shades!,Verified Buyer,18,0
Jessica J.,5,"Good multi purpose lips, cheeks",05/04/2023,This color was recommended for me when I submitted my selfies. It's the best color for my skin tone I think. I like to use it for my lips and cheeks and I don't normally wear lipstick.,Verified Buyer,14,1
Terri N.,5,Perfect 🤩,04/22/2023,Love the color & the product. I’m so allergic to everything but this amazing blush gives me no trouble. My daughter also loves it as it doesn’t break her out. The color tenderly gives that natural glow or flush look.,Verified Buyer,20,1
amy K.,4,Nice product,04/07/2023,Lovely color and feels hydrating to my lips.,Verified Buyer,9,11
Ashley V.,5,The best 🙌🏻,03/24/2023,This is the best blush I’ve ever tried. The color is perfect I barely need to rub it in. My new favorite. Thank you Ilia.,Verified Buyer,20,10
Melissa W.,5,Magic,03/12/2023,"Anything but a whisper....gorgeous pop of colour for lips, cheeks and eyes. Love how it makes my face come alive!",Verified Buyer,30,12
Leslie B.,5,Multi Stick in Watermelon Pink,03/11/2023,A great color I use year round. Looks natural. I use it on my cheeks and lips.,Verified Buyer,18,6
Meredith R.,5,Blendable,03/10/2023,"The product is quite sheer, which makes for a blendable product. I really like the color and want the exact color, but more pigmented for my lips.",Verified Buyer,16,7
Ashley M.,5,Love it,03/08/2023,Amazing product - easy to apply and looks great,Verified Buyer,9,9
Karen S.,5,Beautiful versatile palette!,03/02/2023,"I love this palette! Every color is wearable, breathable, and long lasting. Even the highlighter does just that..highlights without texture. On top of the super skin serum it looks amazing! I highly recommend!",Verified Buyer,28,8
Irene,3,The sticks and better than palette,02/28/2023,"Trying to put product on brushes or sponge was fruitless. It just disappears. So in my opinion you have to use your fingers to pick up enough product for it to show up, and only fingers for blending. It’s a VERY light wash, much lighter than sticks. I’ll probably use it but won’t repurchase.",Verified Buyer,16,12
Melody,5,Hands down the BEST BLUSH EVER,02/25/2023,"I keep coming back to buy more shades! I love the creamy texture, how well it blends and the best part is it’s so good on my skin. My skin has never broken out from any Ilia product. It’s hydrating but still light. Ruby Red is a MUST and In The City for contouring.",Verified Buyer,17,13
Shannon B.,5,Just enough color,02/16/2023,Love the versatility of this palette. I like the choice to see what tone I want on a particular day. I like a little color when I go for the no makeup look. I did not know what individual color to choose so this was perfect.,Verified Buyer,26,20
Jenna P.,5,love It,02/16/2023,"This shade is subtle and pretty, kinda like a rose gold colour on me. Love it on lips and cheeks",Verified Buyer,22,2
Natalie S.,4,Beautiful soft color,01/13/2023,"Tenderly gives such a beautiful soft wash of pink, just enough color to feel fresh for my day.",Verified Buyer,25,5
Zyra,4,Healthy/Dewy Looking Skin,01/06/2023,"This shade blends with the color of my skin making it unnoticeable and gives extra shiny/oily look. I have oily/combination skin and the serum foundation gives enough dew/glow that my skin needs, I find that applying this is unnecessary. If you have dry skin, this might work best for you. Using it makes skin look healthy so I'd still recommend it!
PS. ILIA is so kind to give a refund in coupon and let me keep the product, I'd love to try other shades of their multi stick",Verified Buyer,18,6
Sokunkiry C.,5,Great lipstick,12/26/2022,"Love it , love how it feels on the lips and face .",Verified Buyer,24,5
Melissa R.,5,Perfectly natural,12/13/2022,The look is so natural and dewy and it’s incredibly versatile on all areas of the face.,Verified Buyer,14,6
Heidi L.,5,On my 5th stick of ‘All of Me’!,11/29/2022,"Hands down the best blush I’ve ever used! Creamy, easy application and blending, great pigment, and buildable, I love the glow this blush gives my skin and how it leaves me looking sun kissed year round.",Verified Buyer,25,0
Ginger Amy T.,5,I love my new ilia products!,10/25/2022,I’ve slowly been transitioning to clean beauty products and I’m so happy with the look and feel of each item. This multi stick is perfect for my cheeks and lips. I love the color and the staying power.,Verified Buyer,49,1
Holly M.,5,Orange pop,10/05/2022,This color has just the right shade of orange for my pinky complexion. Love love love it as a lipstick.,Verified Buyer,15,1
Meily G.,5,Lipstick Review,10/05/2022,I love the color and texture!,Verified Buyer,17,1
Kristi R.,3,Not as deep,09/07/2022,"It feels nice. Color is good, but you have to use a lot to get the depth of color you want. Also doesn’t have a very nice scent. I actually think they tried to make it have no sense at all but it ends up smelling like slightly chemical and slightly like wax. I would expect a little bit of fragrance for a high-end feel.not as creamy as I expected.",Verified Buyer,26,10
Brittany M.,4,Totally Blushing,08/06/2022,"My first blush purchase ever. Seriously, first ever. I am in love 😍 The fact that I can use this as a cheek/lip combo is a major bonus.",Verified Buyer,48,41
Renee S.,5,Love this cheek and lip duo!,08/04/2022,One of my favorite products! I love how this multi stick adds a pop of color to my cheeks and lips. Looks natural on my skin. I can’t wait to order more beautiful colors to try out. I know what’s on my Christmas list. :),Verified Buyer,53,47
Shandy H.,5,So easy to use!,07/30/2022,"I LOVE THESE! They glide on silky smooth but have a matte finish and it’s easy to apply like a chapstick. The colors are gorgeous, Tenderly gives me that light, fresh pop of color that looks natural.",Verified Buyer,41,166
Kate C.,5,Easy on the go,07/29/2022,"Love this blush stick! I’m a big fan or cream blush and this one didn’t disappoint. It’s So pretty, easy to apply and love the buildable color. Also doubles as a matte softening lip sheer/balm. Easy pop in your purse for a quick touch up on the go or pick me up in the middle of the day. This product doesn’t add gloss or shine, hopefully this review helps someone out! I’ll definitely be buying more in other colors!",Verified Buyer,26,0
MICHELLE H.,5,I love this multi stick,07/22/2022,"Loving this shade “at last”, nice buildable color, perfect on my lips. Great for traveling and simplifying my makeup routine for lips and cheeks. These things are genius !",Verified Buyer,29,15
Jane K.,5,Love the glow,07/21/2022,I love the shimmery peachy color of “In the Mood”. The product is creamy and easy to apply. Looks beautiful on skin and leaves a nice glow. Nice on lips too for a natural look.,Verified Buyer,14,2
louise m.,5,Variety Rules!,07/13/2022,This is the best! I even love the colors I wouldn’t normally wear- In the City is exquisite! So easy to apply and looks dewy and moist! TY😊,Verified Buyer,38,14
Jonique H.,5,Effortless Natural Glow,07/06/2022,"The ILIA Multi-Stick Cream Blush + Lip Tint is so effortless to use for a subtle, juicy glow. You can dab it on your face and lips and use a brush to blend it out on your cheeks and it just melts into your skin. The color Dear Ruby works really well on my dark complexion which I was very happy about. It looks like it could be a little bright, but it adapts to my skin and lips a bit and has no chalkiness in the color. Great for everyday looks or in the case of using it as blush, also a glam beat.",Verified Buyer,28,0
Colleen S.,5,"Easy to apply, great for travel, works well for my skin tone",07/05/2022,"One thing that I love about using the multi-stick as a blush is how compact it is — no brushes or tools needed. Very easy to swipe on and blend. While I like this as a blush, it is a bit light in color for my lips. Overall, love the versatility and how moisturizing this feels over my other makeup.",Verified Buyer,12,1
Miranda N.,4,Lovely wash of color,07/05/2022,I use this in the morning on cheeks and lips (and I keep Lady Bird in my bag for lip touch ups during the day). I love the natural cheek flush this gives. I’m less in love with it after the first lip application since the faint shimmer builds up and looks mildly dry later in the day.,Verified Buyer,14,1
Theresa B.,5,Natural sun kissed look,07/03/2022,"In the Mood gave me a natural sun kissed glow! Easy to apply, so soft and subtle!",Verified Buyer,6,0
Morgan B.,2,Too much product needed,07/03/2022,"Too much product was needed to show the pigment and, although the colors are pretty, there was so much needed that it very rapidly sweated off within 25 minutes and came off easily if lightly touched. There was product all over my sunglasses after a 20 minute walk",Verified Buyer,28,0
Barbara T.,5,Perfect,06/28/2022,Perfect color,Verified Buyer,9,3
Kim W.,5,Perfect multitasker,06/25/2022,Love this. I use it as contour or blush and eyeshadow. It’s perfect. Highly recommend.,Verified Buyer,10,2
Sharon G.,5,Love color,06/24/2022,This is the right amount of colour and creamy coverage.,Verified Buyer,10,3
alexis s.,4,Dreamer,06/17/2022,I received Ilia’s Multi-Stick Cream Blush + Lip Tint in the shade Dreamer which is listed as a warm nude on Sephora’s website but Terracotta on Ilia’s website. I think it has a nice warm pinky-nude color. It is nice that goes on smoothly and you can build it up (or not). It contains quite a bit of product and at the same time is in a nice small container. I also love that it is a Clean beauty product.,Verified Buyer,13,2
Janet L.,5,Awesome multi-functional product that helps create the beautiful natural look that I love.,06/15/2022,"This Ilia Multi-stick sample was sent to me free in exchange for my honest opinion. The shade is in the color, ""Whisper"". I love a peachy-pink shade of blush, but as I have aged, powder blush just does not work on my dry skin. This product is just perfect for my skin! It did not dry my skin out at all and did not sink into my tiny wrinkles like powder blush does. I applied it with my fingers, and it is very soft and easy to apply and left such a natural flush as if the color was coming from within. I also applied the product to my lips, and it gave me just perfect amount of color to look natural and not too made up. I am looking forward to trying the highlight shades next!",Verified Buyer,17,1
Brandi Y.,3,Not my favorite,06/12/2022,"I’m learning I’m not the target audience for Ilia products so if you love Ilia already, you probably will enjoy this product. I prefer my skin to feel velvet, not dewy and this stays moist/waxy feeling in my skin and is too shiny. When I apply setting powder it looks uneven. It also looks cakey on my lips and isn’t moisturizing enough to be used as a tinted lip balm. I think these are for people that want natural skin with a little pop, where I want makeup to transform my appearance and last all day. I received free to try but I wouldn’t purchase or recommend.",Verified Buyer,27,0
Ang,5,Lovely & smooth!,06/12/2022,"I really like this ilia multi-stick! It goes on nice & smooth and makes my lips feel so soft. Once applied, I found the color to be more subtle than I thought it would be & for me that's a good thing. Using the stick for lips & cheeks is especially convenient for nights out and weekenders.",Verified Buyer,19,0
Rachel N.,5,Love!,06/05/2022,Colors are great and goes on so well!,Verified Buyer,13,1
Paula T.,5,Perfect Spring Color,05/29/2022,This color is rich and so lovely. It is the perfect color for Spring- peachy bright happiness.,Verified Buyer,3,0
Destiny J.,5,Amazing multi-use stick,05/16/2022,I loved how smooth this went on and it was easy to blend out. It is very pigmented but the colors are so complimentary that it’s not too overwhelming to the face. I’ve used it multiple times and it just gives a beautiful color and glow that looks natural.,Verified Buyer,14,1
Summer A.,5,Love Multi Stick Palette,05/14/2022,I am already a fan of several of the multi sticks. The palette gave me an opportunity to try several new colors. But the big bonus is convenience. It is great for sticking in your purse or travel. This one small palette allows you to choose from several multi stick colors as well as highlighting and contouring options in one. Very easy make-up that feels great on your skin.,Verified Buyer,22,1
April M.,4,Pretty Good,05/14/2022,I definitely like the variety of colors. I never usually get through entire sticks of product so having small pots of a variety of color is great. The colors are pretty and vary so that helps to get a taste of many that they offer and see which ones I use the most. The consistency is very sheer and creamy and it smells a little like lipstick which is a bit odd but I am willing to keep trying it. I am wearing just a bit of the whisper color. It seems pretty easily buildable because the consistency is so creamy I am not sure if it will have a lot of staying power but since I don’t wear makeup for hours and hours it will probably last long enough for me. I do like the natural look the makeup overall.,Verified Buyer,14,0
Stacy C.,5,Great color!,05/09/2022,I absolutely love this color! It's a great color for spring summer and freshened up my makeup for the warmer weather!,Verified Buyer,8,2
Julie F.,5,Love the sheer color,05/07/2022,This is my second color. I also have at last but wanted a more neutral color as well. Goes on so smoothly and feels great on my skin. Very moisturizing!,Verified Buyer,14,1
Marcia S.,5,At Last !,05/04/2022,I love this color and product! Makes my skin glow !,Verified Buyer,21,0
Marielys C.,5,Blends well,05/04/2022,This color goes on easily and blends very well. I use it on my cheeks and lips. But i like it more as a blush.,Verified Buyer,8,1
DRAGONFLY N.,5,Natural color for all over the face!,04/30/2022,"I received this Multi-Stick in the shade ¨a fine romance¨ (berry-pink shade) complimentary for my review. You can use this all over your face: cheeks, eyelids and lips. I applied it and blended it out with my fingers very quickly. It left a very natural flush as a blush, or eyeshadow wich I love and on lips is very pretty too, not greassy or drying either.
I love this product to create a monochromatic and easy look every day. Totally recomend it.
I received this #freeproduct #sponsored from #pinchme #happypincher and #iliabeauty in exchange for my honest review. All opinions are my own.",Verified Buyer,7,4
CANDICE D.,4,Fun Pop of Color,04/28/2022,"This is my first cheek/lip purchase from Ilia. The colors are fun and flattering, and I like having a lot of options to try out. The only thing I feel like is that it's so blendable, it seems like it's easy to over-blend and lose all the color. This may be more of a user error, but I'd like to try a multi stick to see how it's coverage compares.",Verified Buyer,16,0
Ellen M.,5,Stella by starlight perfect for spring!,04/27/2022,I am so happy with the multi stick Stella by Starlight! It gives me a nice glow without too much extra color. I apply it over “Bom” serum tint and have been using a mix of “hold me” and “memoir” hydrating lip balm to finish my routine. I like that basically all of Ilia’s products are buildable for light or more businesslike applications.,Verified Buyer,17,1
Jacqui B.,5,"Mom, dental office mgr, wife , always on the go",04/26/2022,I love this palette and combine a few colors to get a perfect glow. The palette enabled me to try numerous shades and I use it every day now. So natural looking as well!,Verified Buyer,12,0
Taylor S.,5,Simple & Amazing,04/24/2022,"I love the variety and simplicity of this kit! Makes me excited to get ready quickly and throw on some color to my face, and blend colors together to make the perfect shade. It’s just the best buildable natural glowy look!",Verified Buyer,22,0
